Company Name,,LTP (Last Traded Price),52 Week High,52 Week Low
RITES,,705.2,825.95,364.80
RBL Bank,,257.63,300.70,164.55
RHI Magnesita,,694.05,824.00,504.25
Ramkrishna Forgings,,745.15,814.70,404.25
Railtel Corporation of India,,420.65,491.45,123.00
Rainbow Childrens Medicare,,1309.95,"1,649.00",925.00
Reliance Power,,31.32,34.45,13.80
Redtape,,744.1,804.85,411.05
Rattan India Enterprises,,76.14,94.85,37.55
Route Mobile,,1530.75,"1,759.90","1,386.05"
Tata Consultancy Services,,3832.05,"4,254.75","3,173.00"
Tata Motors,,993.4,"1,065.60",557.70
Titan,,3530.05,"3,875.00","2,882.45"
Tata Steel,,183.15,184.10,108.10
Trent,,5245.55,"5,188.00","1,657.45"
Tata Power,,448.65,464.20,215.70
Tech Mahindra,,1371.45,"1,416.30","1,069.35"
TVS Motors,,2503.85,"2,461.00","1,289.00"
Tata Consumer Products,,1112.45,"1,269.00",816.00
Torrent Pharmaceuticals,,2882.1,"2,918.80","1,772.05"
Tube Investment,,4307,"4,264.55","2,758.00"
Torrent Power,,1599.1,"1,633.10",588.10
Thermax,,5311.9,"5,699.95","2,191.85"
Tata Communications,,1868.4,"2,084.65","1,512.45"
Tata Elxsi,,7268,"9,200.00","6,411.20"
Tata Technologies,,1037.65,"1,400.00",982.25
The New India Assurance Company,,244.15,324.70,113.90
Tata Investment Corporation,,6731,"9,756.85","2,280.00"
Timken,,4579.35,"4,398.80","2,524.50"
Tata Motors DVR,,668.35,712.60,294.40
Tata Consultancy Services,,3832.05,"4,254.75","3,173.00"
Tata Motors,,993.4,"1,065.60",557.70
Titan,,3530.05,"3,875.00","2,882.45"
Tata Steel,,183.15,184.10,108.10
Trent,,5245.55,"5,188.00","1,657.45"
Tata Power,,448.65,464.20,215.70
Tech Mahindra,,1371.45,"1,416.30","1,069.35"
TVS Motors,,2503.85,"2,461.00","1,289.00"
Tata Consumer Products,,1112.45,"1,269.00",816.00
Torrent Pharmaceuticals,,2882.1,"2,918.80","1,772.05"
Tube Investment,,4307,"4,264.55","2,758.00"
Torrent Power,,1599.1,"1,633.10",588.10
Thermax,,5311.9,"5,699.95","2,191.85"
Tata Communications,,1868.4,"2,084.65","1,512.45"
Tata Elxsi,,7268,"9,200.00","6,411.20"
Tata Technologies,,1037.65,"1,400.00",982.25
The New India Assurance Company,,244.15,324.70,113.90
Tata Investment Corporation,,6731,"9,756.85","2,280.00"
Timken,,4579.35,"4,398.80","2,524.50"
Tata Motors DVR,,668.35,712.60,294.40
UltraTech Cement,,11242.8,"11,299.00","7,987.65"
Union Bank of India,,147.55,172.50,68.00
United Spirits,,1269,"1,334.85","1,212.30"
UCO Bank,,56.8,70.65,26.10
UNO Minda,,1042.75,"1,065.00",548.60
United Breweries,,2109.1,"2,182.45","1,465.80"
United Phosphorus,,551.7,696.00,447.80
Usha Martin,,402.1,423.95,252.80
UTI AMC,,1001.05,"1,005.00",677.65
