Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Quadpro ITES,5.60,8.80,4.80
State Bank of India,839.20,912.00,543.20
Sun Pharmaceutical,"1,516.00","1,638.85",977.30
Siemens,"7,790.20","7,468.00","3,246.00"
SBI Life Insurance,"1,469.90","1,569.40","1,227.65"
Samvardhana Motherson International,174.62,169.02,81.00
Shriram Finance,"2,732.15","2,697.65","1,703.85"
Shree Cement,"27,538.00","30,737.75","22,605.60"
Solar Industries,"9,898.15","10,450.00","3,453.35"
Supreme Industries,"6,039.55","6,460.00","2,938.50"
SRF,"2,402.00","2,693.95","2,040.00"
Schaeffler India,"4,825.60","4,745.00","2,612.20"
SBI Cards,728.35,933.00,647.95
Suzlon Energy,49.48,52.10,13.25
Steel Authority of India,153.63,175.35,81.80
SJVN,135.03,170.50,38.00
Sundaram Finance,"4,548.70","4,998.00","2,493.10"
Sona BLW Precision Forgings,648.30,718.85,488.10
SKF India,"6,921.20","6,380.00","4,024.50"
Star Health Insurance,528.45,675.00,454.80
Sun TV Network,757.55,792.60,423.00
State Bank of India,839.20,912.00,543.20
Sun Pharmaceutical,"1,516.00","1,638.85",977.30
Siemens,"7,790.20","7,468.00","3,246.00"
SBI Life Insurance,"1,469.90","1,569.40","1,227.65"
Samvardhana Motherson International,174.62,169.02,81.00
Shriram Finance,"2,732.15","2,697.65","1,703.85"
Shree Cement,"27,538.00","30,737.75","22,605.60"
Solar Industries,"9,898.15","10,450.00","3,453.35"
Supreme Industries,"6,039.55","6,460.00","2,938.50"
SRF,"2,402.00","2,693.95","2,040.00"
Schaeffler India,"4,825.60","4,745.00","2,612.20"
SBI Cards,728.35,933.00,647.95
Suzlon Energy,49.48,52.10,13.25
Steel Authority of India,153.63,175.35,81.80
SJVN,135.03,170.50,38.00
Sundaram Finance,"4,548.70","4,998.00","2,493.10"
Sona BLW Precision Forgings,648.30,718.85,488.10
SKF India,"6,921.20","6,380.00","4,024.50"
Star Health Insurance,528.45,675.00,454.80
Sun TV Network,757.55,792.60,423.00
Tata Consultancy Services,"3,832.05","4,254.75","3,173.00"
Tata Motors,993.40,"1,065.60",557.70
Titan,"3,530.05","3,875.00","2,882.45"
Tata Steel,183.15,184.10,108.10
Trent,"5,245.55","5,188.00","1,657.45"
Tata Power,448.65,464.20,215.70
Tech Mahindra,"1,371.45","1,416.30","1,069.35"
TVS Motors,"2,503.85","2,461.00","1,289.00"
Tata Consumer Products,"1,112.45","1,269.00",816.00
Torrent Pharmaceuticals,"2,882.10","2,918.80","1,772.05"
Tube Investment,"4,307.00","4,264.55","2,758.00"
Torrent Power,"1,599.10","1,633.10",588.10
Thermax,"5,311.90","5,699.95","2,191.85"
Tata Communications,"1,868.40","2,084.65","1,512.45"
Tata Elxsi,"7,268.00","9,200.00","6,411.20"
Tata Technologies,"1,037.65","1,400.00",982.25
The New India Assurance Company,244.15,324.70,113.90
Tata Investment Corporation,"6,731.00","9,756.85","2,280.00"
Timken,"4,579.35","4,398.80","2,524.50"
Tata Motors DVR,668.35,712.60,294.40
UltraTech Cement,"11,242.80","11,299.00","7,987.65"
Union Bank of India,147.55,172.50,68.00
United Spirits,"1,269.00","1,334.85","1,212.30"
UCO Bank,56.80,70.65,26.10
UNO Minda,"1,042.75","1,065.00",548.60
United Breweries,"2,109.10","2,182.45","1,465.80"
United Phosphorus,551.70,696.00,447.80
Usha Martin,402.10,423.95,252.80
UTI AMC,"1,001.05","1,005.00",677.65
Ujjivan Small Finance Bank,49.97,63.00,36.60
Utkarsh Small Finance Bank,53.92,68.30,37.20
Unichem Laboratories,550.25,615.65,367.25
UFLEX,468.05,499.60,370.95
Unitech Group,11.72,19.80,1.30
Universal Cables,748.90,799.00,367.25
UGRO Capital,278.40,319.15,213.00
Uniparts,522.90,722.65,454.00
Udaipur Cement Works,39.92,42.75,23.45
Updater Services,293.85,384.90,235.30
Uttam Sugar Mills,372.05,535.80,275.00
Varun Beverages,"1,639.25","1,598.35",755.00
Vedanta,447.60,506.75,208.00
Vodafone Idea,16.73,18.40,7.15
Voltas,"1,498.50","1,502.30",745.00
Vedant Fashions,"1,147.65","1,487.90",886.05
Vinati Organics,"1,868.95","1,985.00","1,462.20"
V-Guard Industries,399.90,414.65,251.50
Vardhman Textiles,470.75,504.70,334.40
Valor Estate,202.30,284.90,69.15
Vesuvius,"5,489.00","5,649.90","2,240.50"
Voltamp Transformers,"11,125.90","12,500.00","3,880.00"
Varroc Engineering,681.30,698.65,315.00
Vijaya Diagnostic Centre,793.50,880.00,388.00
VA Tech Wabag,"1,125.65","1,180.60",435.45
VST Industries,"4,313.65","4,522.50","3,159.00"
VIP Industries,472.85,722.85,428.50
V Mart Retail,"2,772.75","2,849.90","1,595.00"
Vaibhav Global,332.20,533.00,262.65
VRL Logistics,592.00,799.00,511.25
Venus Pipes & Tubes,"2,098.30","2,254.45","1,112.35"
Wipro,477.50,545.90,375.05
Whirlpool,"1,784.90","1,837.80","1,186.10"
Welspun Corp,538.10,631.90,258.55
Welspun Living,144.14,171.25,122.65
Westlife Foodworld,805.10,"1,024.95",708.95
Wockhardt,570.85,630.00,182.90
Welspun Enterprises,459.75,497.00,173.00
Wonderla Holidays,894.20,"1,105.90",543.60
West Coast Paper Mills,677.75,790.00,465.30
Wendt,"15,824.95","17,000.05","9,355.00"
Websol Energy System,628.25,743.95,82.20
Wheels,829.05,855.00,548.00
Windlas Biotech,724.35,794.50,272.90
Wonder Electricals,936.40,"1,279.90",210.05
Walchandnagar Industries,230.02,268.10,77.00
Wealth First Portfolio Managers,787.15,981.35,295.05
WS Industries,150.06,194.00,83.85
Wise Travel India,281.70,296.00,155.35
Windsor Machines,89.86,104.30,51.30
Wanbury,157.77,179.35,46.60
Xpro,"1,043.80","1,297.80",793.55
Xchanging Solutions,119.13,176.50,65.70
Xelpmoc Design & Tech,115.73,155.80,73.30
Zomato,186.24,207.20,72.55
Zydus Life Science,"1,109.55","1,172.50",515.60
ZF Commercial,"17,315.95","18,250.00","11,684.05"
Zensar Technologies,696.45,723.00,376.00
Zee Entertainment,163.98,299.70,125.50
Zydus Wellness,"1,849.80","1,972.80","1,425.05"
Zen Technologies,"1,120.55","1,130.00",385.00
Zaggle Prepaid Ocean Services,292.95,389.45,155.30
Zota Healthcare,619.30,595.00,336.30
Zuari Industries,324.40,374.20,136.10
Zee Media Corporation,14.39,18.30,7.80
Zodiac Energy,621.35,694.95,107.00
Zuari Agro Chemicals,191.25,258.00,135.30
Zim Laboratories,101.51,152.70,89.50
Zodiac Clothing,113.64,151.00,98.05
Zeal Global Services,188.00,294.40,142.50
Zee Learn,7.68,9.70,2.70
