Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Mahanagar Gas,"1,461.35","1,580.00",970.55
BLS International Services,350.90,429.95,186.50
Firstsource Solutions,204.27,228.90,122.15
Fine Organic Industries,"4,697.50","5,164.90","4,021.00"
Olectra Greentech,"1,749.65","2,221.95",898.20
Engineers India,253.81,289.90,107.50
Welspun Corp,542.70,631.90,258.55
Mama Earth,434.95,511.00,256.30
RHI Magnesita,675.55,824.00,504.25
Eris Lifesciences,"1,023.25","1,053.90",649.00
Vardhman Textiles,478.15,504.70,334.40
Alok Industries,27.72,39.05,14.00
Amber Enterprises,"4,063.50","4,614.20","2,099.05"
Welspun Living,140.82,171.25,122.65
PVR Inox,"1,391.65","1,875.45","1,204.20"
Happiest Minds Technologies,894.45,"1,023.00",741.00
Ramkrishna Forgings,753.40,814.70,404.25
J&K Bank,122.82,152.50,54.90
Railtel Corporation of India,417.20,491.45,123.00
Rainbow Childrens Medicare,"1,307.95","1,649.00",925.00
HBL Power Systems,478.80,612.00,142.30
EID Parry,720.40,733.30,452.35
Tanla Platforms,940.00,"1,317.95",782.05
Usha Martin,414.80,423.95,252.80
Westlife Foodworld,809.20,"1,024.95",708.95
Praj Industries,685.70,692.85,365.95
UTI AMC,989.20,"1,005.00",677.65
Nuvoco Vistas Corporation,347.90,398.00,291.30
KFin Technologies,719.80,822.00,335.10
PNC Infratech,480.60,574.80,310.10
GMDC,386.60,506.00,158.40
Birla Corporation,"1,549.80","1,802.00","1,060.55"
Jubilant Pharmova,746.40,775.00,318.75
eClerx Services,"2,412.15","2,828.00","1,582.00"
MMTC,77.26,101.90,31.00
DOMS Industries,"1,898.15","2,035.00","1,225.60"
Bombay Burmah Trading,"1,652.70","1,839.95",970.05
Lemon Tree Hotels,144.63,158.00,89.90
Aether Industries,859.60,"1,209.00",761.55
Equitas Small Finance Bank,100.21,116.50,80.10
Happy Forgings,"1,200.20","1,218.00",813.20
Graphite,577.00,709.40,387.20
Granules,462.45,485.95,281.35
City Union Bank,148.27,167.80,119.50
Can Fin Homes,817.35,909.80,680.00
KNR Constructions,382.80,407.00,235.00
Minda Corporation,450.00,469.50,275.30
CE Info Systems,"1,969.70","2,343.95","1,152.50"
Caplin Point Laboratories,"1,398.10","1,619.05",781.85
Saregama India,548.45,570.70,290.81
Rattan India Enterprises,76.54,94.85,37.55
Glenmark Life Sciences,858.10,906.00,555.85
Latent View Analytics,512.40,567.10,331.50
Shree Renuka Sugars,49.30,57.25,36.55
Indiabulls Housing Finance,171.90,209.30,99.88
Alkyl Amines Chemicals,"2,021.50","2,797.70","1,808.00"
CEAT,"2,539.35","2,998.45","1,992.40"
Varroc Engineering,671.15,698.65,315.00
Metropolis Healthcare,"1,990.25","2,067.95","1,285.00"
GNFC,689.50,814.90,532.00
Safari Industries,"2,044.80","2,315.00","1,371.03"
Cera Sanitaryware,"7,563.00","9,740.00","6,591.20"
JK Lakshmi Cement,825.30,999.90,607.20
Gujarat Pipavav Port,200.72,225.35,111.85
Route Mobile,"1,535.85","1,759.90","1,386.05"
Sapphire Foods,"1,508.15","1,680.00","1,213.00"
Mahindra Lifespaces,618.00,678.80,448.20
Ujjivan Small Finance Bank,49.58,63.00,36.60
PCBL,248.47,343.50,147.05
Craftsman Automation,"4,417.60","5,513.65","3,782.05"
Maharashtra Seamless,689.80,"1,084.35",444.40
Rashtriya Chemicals & Fertilizers,167.60,190.00,105.25
Quess Corp,619.30,670.40,397.70
SBFC Finance,85.09,98.00,72.40
Home First Finance Company,"1,022.10","1,063.80",743.40
Just Dial,"1,051.90","1,162.00",693.05
Gujarat State Fertilizers & Chemicals,223.99,322.25,146.15
Balrampur Chini Mills,439.15,485.90,343.50
Network 18 Media,84.11,135.70,57.15
Chemplast Sanmar,555.85,574.40,402.80
Campus Activewear,284.25,338.90,213.00
Anupam Rasayan,783.90,"1,150.00",720.40
Mahindra Holidays,425.65,470.00,286.00
Triveni Engineering & Industries,391.65,416.50,267.50
HEG,"2,214.05","2,743.00","1,395.00"
Rajesh Exports,287.25,639.85,261.00
Mastek,"2,754.55","3,145.00","1,890.00"
Sunteck Realty,569.45,586.00,271.40
Medplus Health Services,698.25,978.00,598.60
Avanti Feeds,608.70,647.15,385.05
Syrma SGS,466.45,705.20,386.10
Vijaya Diagnostic Centre,806.85,880.00,388.00
Jubilant Ingrevia,515.55,581.70,399.00
Archean Chemical Industries,658.95,837.70,494.15
CCL Products,608.15,749.50,551.60
Prism Johnson,160.43,199.00,119.95
JM Financial,84.37,114.85,69.00
TVS Supply Chain Solutions,174.92,258.00,145.00
Prince Pipes & Fittings,695.95,776.00,521.35
Sun Pharma Advanced Research Co,234.40,472.80,189.65
TV18 Broadcast,44.09,68.70,36.90
Deepak Fertilisers & Petrochemicals,599.60,714.70,450.00
JK Paper,446.10,448.50,306.40
Easy Trip Planners,42.33,54.00,37.00
Fairdeal Corporation,457.30,489.95,301.95
Tamilnad Mercantile Bank,469.45,611.35,402.35
Balaji Amines,"2,245.90","2,735.00","1,960.00"
Laxmi Organic Industries,255.01,320.95,220.00
Gujarat Ambuja Exports,150.39,210.60,117.85
India Cements,218.73,277.00,172.55
VIP Industries,474.95,722.85,428.50
Borosil Renewables,506.05,669.35,391.05
KRBL,286.70,470.90,258.15
Sterlite Technologies,134.25,179.05,109.50
Indigo Paints,"1,368.50","1,679.95","1,250.00"
Allcargo Logistics,65.04,98.00,61.30
Essel Propack,192.99,236.15,169.60
GMM Pfaudler,"1,340.65","1,897.95","1,143.10"
CSB Bank,345.25,422.25,263.10
MTAR Technologies,"1,819.95","2,920.35","1,600.00"
Vaibhav Global,328.15,533.00,262.65
Restaurant Brand Asia (Burger King),106.88,137.70,91.50
NMDC Steel,59.80,73.70,39.15
